PlotNo,StandType,Density,QuadDiam
1,Coigue,1780,22.11
2,Coigue,980,30.5
3,Coigue,3100,16.98
4,Coigue,4120,12.69
5,Coigue,2280,17.92
6,Coigue,4760,15.19
7,Coigue,4960,12
8,Coigue,1520,19.51
9,Coigue,1480,21.39
10,Coigue,5560,10.87
11,Coigue,2000,23.94
12,Coigue,2960,14.21
13,Coigue,3240,19.67
14,Rauli,2970,13.02
15,Rauli,1500,14.84
16,Rauli,4080,15.02
17,Rauli,1600,15.44
18,Rauli,2040,18.66
19,Rauli,1960,18.02
20,Rauli,2120,15.2
21,Rauli,2160,19.6
22,Rauli,2720,11.53
23,Roble,3890,11.95
24,Roble,1070,22.74
25,Roble,1720,14.41
26,Roble,2920,12.58
27,Roble,2960,11.64
28,Roble,3440,11.6
29,Roble,1600,13.17
30,Roble,3100,9.48
31,Roble,1420,17.85
32,Roble,2060,15.85
33,Roble,2440,14.54
34,Roble,1720,16.2
35,Roble,1220,18.27
36,Roble,4080,8.88
37,Roble,3440,11.65
38,Roble,760,26.31
39,Roble,3840,12.04
40,Roble,1600,14.38
41,Roble,2320,12.6